sex	NCAnsC	language	literal_order	varphi	mean_est	se_est	size_id	size_rows
f			('sex',)	28.0	2694.8665	1.2698	0.551948051948052	0.5549980702431494
m			('sex',)	26.9	2615.0928	1.6462	0.44805194805194803	0.44500192975685066
f	1.0		('sex', 'NCAnsC')	26.2	2693.8459	1.315	0.551948051948052	0.5384021613276727
f		s	('sex', 'language')	24.7	2940.8674	11.389	0.07142857142857142	0.06985719799305287
f	1.0	s	('sex', 'NCAnsC', 'language')	20.9	2906.2571	11.7952	0.07142857142857142	0.06754148977228869
m	1.0		('sex', 'NCAnsC')	19.6	2625.8451	1.7082	0.44805194805194803	0.43110768043226555
m	0.0		('sex', 'NCAnsC')	8.6	2281.4722	44.096	0.16233766233766234	0.013894249324585103
m	1.0	f	('sex', 'NCAnsC', 'language')	8.0	2674.2705	1.8746	0.4155844155844156	0.3994596680818217
m	0.0	f	('NCAnsC', 'language', 'sex')	5.4	2396.0909	48.8305	0.14285714285714285	0.01273639521420301
m		f	('sex', 'language')	3.5	2665.6751	1.8067	0.4155844155844156	0.4121960632960247
f	0.0	f	('NCAnsC', 'language', 'sex')	3.3	2529.7568	39.4015	0.16233766233766234	0.014280200694712466
f	1.0	f	('sex', 'NCAnsC', 'language')	2.7	2663.377	1.4752	0.4805194805194805	0.470860671555384
f	0.0		('sex', 'NCAnsC')	1.9	2727.9767	36.7507	0.18831168831168832	0.01659590891547665
	1.0	f	('NCAnsC', 'language')	10.9	2668.3769	0.8267	0.8961038961038961	0.8703203396372057
	0.0	f	('NCAnsC', 'language')	9.0	2466.7429	21.4308	0.3051948051948052	0.027016595908915475
	0.0		('NCAnsC',)	6.8	2524.5063	19.8689	0.35064935064935066	0.03049015824006175
	1.0		('NCAnsC',)	5.7	2663.6083	0.7431	1.0	0.9695098417599383
	1.0	s	('NCAnsC', 'language')	5.1	2621.7665	7.3862	0.1038961038961039	0.09918950212273253
		f	('language',)	3.7	2662.3062	0.7974	0.8961038961038961	0.8973369355461212
		s	('language',)	3.6	2633.6767	7.1478	0.1038961038961039	0.10266306445387881
